FID,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,geom
focos_ams_hoje_ref.1ae55faf-e4fd-397b-b1d0-6c4696ea199e,-62.863,-16.749,2019-10-19T17:50:00,AQUA_M-T,Ñuflo de Chávez,Santa Cruz,Bolivia,POINT (-16.749 -62.863)
focos_ams_hoje_ref.1afc2fe4-46d2-305a-8a49-a0f581f8feb8,-44.262,-8.676,2019-10-19T16:15:00,AQUA_M-T,PALMEIRA DO PIAUÍ,PIAUÍ,Brasil,POINT (-8.676 -44.262)
focos_ams_hoje_ref.1b16b0f6-8e1d-30aa-8e3a-2619df4d225d,-64.532,-9.472,2019-10-19T17:50:00,AQUA_M-T,PORTO VELHO,RONDÔNIA,Brasil,POINT (-9.472 -64.532)
focos_ams_hoje_ref.1b1c3e5b-7c95-3ed0-8be7-a075b34d83f5,-46.426,-6.179,2019-10-19T16:15:00,AQUA_M-T,GRAJAÚ,MARANHÃO,Brasil,POINT (-6.179 -46.426)
focos_ams_hoje_ref.1b44bfc7-c9ab-357a-888a-73d6312b3cdd,-41.217,-17.453,2019-10-19T16:10:00,AQUA_M-T,PAVÃO,MINAS GERAIS,Brasil,POINT (-17.453 -41.217)
focos_ams_hoje_ref.1b49661a-3ee1-3cef-8abf-d7689417c562,-68.657,4.789,2019-10-19T17:55:00,AQUA_M-T,Santa Rita,Vichada,Colombia,POINT (4.789 -68.657)
focos_ams_hoje_ref.1b574e75-7b23-356f-82a1-9c0f024f9642,-43.433,-12.602,2019-10-19T16:10:00,AQUA_M-T,SÍTIO DO MATO,BAHIA,Brasil,POINT (-12.602 -43.433)
focos_ams_hoje_ref.1be6b83f-fc33-3dcb-99c0-471533eef12b,-42.963,-7.335,2019-10-19T16:15:00,AQUA_M-T,FLORIANO,PIAUÍ,Brasil,POINT (-7.335 -42.963)
focos_ams_hoje_ref.1bf78fe3-8100-3e6a-94c1-a7e64cd3cf66,-41.285,-17.907,2019-10-19T16:10:00,AQUA_M-T,TEÓFILO OTONI,MINAS GERAIS,Brasil,POINT (-17.907 -41.285)
focos_ams_hoje_ref.1c05c161-87f2-3ce1-b186-e0d34339ab4f,-43.399,-16.466,2019-10-19T16:10:00,AQUA_M-T,GRÃO MOGOL,MINAS GERAIS,Brasil,POINT (-16.466 -43.399)
focos_ams_hoje_ref.1c05e29c-3005-3aaf-b1db-a4827204c38f,-59.894,-15.501,2019-10-19T17:50:00,AQUA_M-T,VILA BELA DA SANTÍSSIMA TRINDADE,MATO GROSSO,Brasil,POINT (-15.501 -59.894)
focos_ams_hoje_ref.1c1152d9-7243-3094-8b86-eec946917cc8,-44.573,-17.68,2019-10-19T16:10:00,AQUA_M-T,VÁRZEA DA PALMA,MINAS GERAIS,Brasil,POINT (-17.68 -44.573)
focos_ams_hoje_ref.1ca1c931-e41d-3b85-a2b7-4c57983383de,-63.77,-14.145,2019-10-19T17:50:00,AQUA_M-T,Vaca Díez,El Beni,Bolivia,POINT (-14.145 -63.77)
focos_ams_hoje_ref.1cbfebcb-f325-390f-a46a-9bac1e0b158d,-64.358,-14.334,2019-10-19T17:50:00,AQUA_M-T,Cercado,El Beni,Bolivia,POINT (-14.334 -64.358)
focos_ams_hoje_ref.1d55ef13-1eb4-3844-96d4-aefd1655a5db,-41.661,-3.322,2019-10-19T16:15:00,AQUA_M-T,COCAL,PIAUÍ,Brasil,POINT (-3.322 -41.661)
focos_ams_hoje_ref.1d6ce611-abf8-3dbc-9743-928b931dfbf1,-64.537,-9.592,2019-10-19T17:50:00,AQUA_M-T,PORTO VELHO,RONDÔNIA,Brasil,POINT (-9.592 -64.537)
focos_ams_hoje_ref.1d9e65b0-8564-3cea-9315-027b4c409eb3,-40.733,-13.312,2019-10-19T16:10:00,AQUA_M-T,MARACÁS,BAHIA,Brasil,POINT (-13.312 -40.733)
focos_ams_hoje_ref.1dc3fe1b-7fbc-396b-bb2b-51b3629da2c3,-41.535,-16.144,2019-10-19T16:10:00,AQUA_M-T,MEDINA,MINAS GERAIS,Brasil,POINT (-16.144 -41.535)
focos_ams_hoje_ref.1e3e7c88-897d-3397-8a37-8b09ac03306e,-44.72,-7.614,2019-10-19T16:15:00,AQUA_M-T,URUÇUÍ,PIAUÍ,Brasil,POINT (-7.614 -44.72)
focos_ams_hoje_ref.1e5cb7d3-fa16-3888-bc43-475bb474324a,-43.42,-16.468,2019-10-19T16:10:00,AQUA_M-T,FRANCISCO SÁ,MINAS GERAIS,Brasil,POINT (-16.468 -43.42)
focos_ams_hoje_ref.1f6f7fe6-cd2a-381a-8f22-782c6fdeb8e7,-43.799,-7.586,2019-10-19T16:15:00,AQUA_M-T,BERTOLÍNIA,PIAUÍ,Brasil,POINT (-7.586 -43.799)
focos_ams_hoje_ref.1ff21900-3e17-3a8a-b83d-b39ccf6f52c2,-41.348,-17.505,2019-10-19T16:10:00,AQUA_M-T,TEÓFILO OTONI,MINAS GERAIS,Brasil,POINT (-17.505 -41.348)
focos_ams_hoje_ref.202e5a5f-c2b5-3db6-bb45-a22df44f0f73,-59.98,-14.699,2019-10-19T17:50:00,AQUA_M-T,VILA BELA DA SANTÍSSIMA TRINDADE,MATO GROSSO,Brasil,POINT (-14.699 -59.98)
focos_ams_hoje_ref.20a58761-338c-326c-9974-71d2fd881d64,-42.986,-12.763,2019-10-19T16:10:00,AQUA_M-T,PARATINGA,BAHIA,Brasil,POINT (-12.763 -42.986)
focos_ams_hoje_ref.2102ea00-1720-3299-b46d-8cb73292bc22,-41.279,-19.697,2019-10-19T16:10:00,AQUA_M-T,AIMORÉS,MINAS GERAIS,Brasil,POINT (-19.697 -41.279)
focos_ams_hoje_ref.2115ac94-d005-3f8c-a408-271676ff6d65,-42.561,-18.269,2019-10-19T16:10:00,AQUA_M-T,SÃO JOSÉ DO JACURI,MINAS GERAIS,Brasil,POINT (-18.269 -42.561)
focos_ams_hoje_ref.216c6089-51ba-3648-8b8a-b2ed7401bd15,-42.396,-19.743,2019-10-19T16:10:00,AQUA_M-T,PINGO D'ÁGUA,MINAS GERAIS,Brasil,POINT (-19.743 -42.396)
